postText	phrase(s)	spoiler
The Simple Way To Banish Stinky Garlic Breath	[Researchers from Ohio State University found that the best foods to banish garlic breath are raw apple and raw lettuce, the Huffington Post reports.]	['raw apple and raw lettuce']
He Went To Rip Weeds From His Lawn. Hours Later He’s Dead. You Could Be Next. BE WARNED...	"[One man from Tampa, Florida, was out gardening on a seemingly normal day when he did not notice a wasp nest hidden beneath some plants in his front lawn., Hi wife went and grabbed John an ice pack to help reduce the swelling, and John sat down to try and recover from the extremely painful stings that were attacking his body., It was only an hour after getting stung when John was gasping for air and told his wife three last words, ""I love you"" before he took his last breath and died., It is important to get tested for this type of reaction if you are going to be spending time outdoors or doing yard work.]"	['allergic reaction from a wasp like John was stung by']
The Dish You Should Never Order in Rome	[When it comes to dining in Rome, there's a pasta dish to avoid—unless you know the one place to try it., But it did take off stateside thanks to a Pennsylvania noodle company: Pennsylvania Dutch marketed a creamy sauce called Alfredo after influential New York restaurateur George Renart raved about the dish in the Saturday Evening Post when he returned from a trip to Rome.]	['fettuccine Alfredo']
This Is What Happens To You If You Drink 4 Energy Drinks A Day For 7 Years	[Simply giving an energy drink a sniff should be all you need to be convinced that the stuff is not good for you., But for some people, energy drinks are a habit that’s as hard to break as the strongest alcohol or drug addiction.]	['serious heart condition, and also attributes her two miscarriages']
How one woman lost nearly 200 pounds	[I lost 20 pounds in 30 days and started going to the gym., Even after losing 20 pounds, I could only walk on the treadmill at the lowest speed, but I kept going.]	['remove sugar from my diet, stop late-night eating and start using the gym membership']
The emergency warning has been downgraded to watch and act	[Authorities are yet to begin an investigation in the cause of the fire, which has now been downgraded from an emergency warning to a watch and act.]	['Fire authorities in Western Australia say no properties were lost during a bushfire around the town of Gwindinup south-east of Bunbury, which has now been contained.']
Here’s What Happens When You Give $1,000 to Someone in Extreme Poverty	[Here’s What Happens When You Give $1,000 to Someone in Extreme Poverty]	['1.) Housing', '2.) School Fees', '3.) Food', 'medicines for chronic illness (Cancer, HIV, etc), livestock for income, and clothing & shoes.', 'no evidence that vice consumption is different from others in the community who did not receive transfers.']
British Police Officers Reveal What They Really Think About the War on Drugs	[Good Cop, Bad War is the story of an undercover police officer, Neil Woods, who spent over a decade infiltrating Britain's biggest drug gangs.]	['The logic of the drugs war only leads one way: the police get smarter, so the criminals get nastier']
This seagull fell into a vat of chicken tikka masala. I think I can explain why	[Chicken tikka masala is undoubtedly delicious., But this is not the reason a seagull loitering at a food factory in Gloucestershire, England, fell into a vat of it this past Monday., And a big vat of tikka masala is an opportunity no gull can afford to miss.]	"['Gulls are what\'s known as ""opportunistic kleptoparasites,"" meaning they don\'t derive 100 percent of their diets from heist but rather just steal when the opportunity arises. And a big vat of tikka masala is an opportunity no gull can afford to miss.']"
The One Thing Morgan Freeman Still Thinks Is Terrible About The Shawshank Redemption	[The One Thing Morgan Freeman Still Thinks Is Terrible About The Shawshank Redemption By Dirk Libbey]	['the title page']
This guy just won the 2014 Name of the Year contest. He totally deserves it:	[Shamus Beaglehole Wins 2014 Name of the Year Contest]	['Shamus Beaglehole']
How safe is your DNA?	"[A new high-tech, controversial law enforcement procedure has some people worried it threatens the privacy of our DNA, CBS News correspondent Anne Marie Green writes about how she came across this story, and the Angie Dodge murder investigation, which she reported for ""48 Hours"" in ""The DNA of a Killer."", I first learned about the 20-year-old murder of Angie Dodge in a roundabout way, after getting my DNA analyzed by one of those commercial DNA databases., But I did wonder if I could learn anything more from the DNA report., After getting my DNA report I learned that there are a number of genealogy sites, educational institutions and companies that are willing to offer you further insight into what your DNA may reveal, as long as you’re willing to upload your DNA profile to them., Some of these sites charge money, while others are simply willing to analyze your DNA profile in exchange for adding your profile to their database., There was even one that promised to create a diet tailor made for me based on my DNA., Then I heard that the New York City Police Department was trying to get permission to do something called a ""familial DNA"" search., Police hunting for a killer in a high-profile murder case wanted to use his DNA to search New York State’s criminal database for a relative of his., A quick search of the phrase ""familial DNA"" and I learned authorities in California had used it to apprehend a serial killer, who had eluded them for 25 years., The infamous ""Grim Sleeper,"" Lonny Franklin Jr., had a son who was serving time on a felony weapons charge, and his DNA had been uploaded to the California criminal database., A familial search conducted by Idaho Falls police landed Usry in a stark interrogation room, where he was grilled by detectives and asked for his DNA, without any explanation., How his father had participated in a genealogical study through their church, giving a sample of his DNA to a public database, which was later purchased by Ancestry.com., Years later, in an attempt to crack the 20-year-old cold-case murder of Angie Dodge, police conducted a familial DNA search in that very database, and found an anonymous donor who appeared to be a very close match to the killer’s DNA., I learned that authorities had never found Tapp’s DNA at the crime scene., Both men said they knew nothing about the murder of Angie Dodge , both men had their DNA tested and both men did not match that of the killer, yet one man went to prison and the other man went home., I think there are many lessons in this case, but writing strictly as it relates to the privacy of DNA databases, the lesson is this: When you trade your DNA for information you are also giving it away -- and the database you give it to, owns it., Despite what happened, Michael Usry’s father does not regret participating in a DNA study, but rest assured that his son never will.]"	['When you trade your DNA for information you are also giving it away -- and the database you give it to, owns it. What if that company goes out of business and sells the database? Do the protections you have been promised still stand?']
Here's the part of the UK that has the most sex	[Despite the high number, millennials appear to be having less sex than the previous generation, because of societal pressures and living with parents.]	['Wolverampton']
He Places Colored Water in Bread Pans Outside During a Snowstorm. What he Makes is Stunning!	[He Places Colored Water in Bread Pans Outside During a Snowstorm.]	['colourful igloo']
Why Unbreakable remains the ultimate superhero movie	[In today’s age of superhero movie ubiquity, it’s tempting to read 2000’s Unbreakable as a Bizarro version of everything that proceeded it., While today’s superhero movies aim for excitement via loud action and bloated narratives, Unbreakable is deadly quiet, only lightly dusted with plot and told with an everyday realism that verges on mundanity., Two years after Unbreakable was released, Raimi’s first Spider-Man film became the highest grossing film of that year, taking close to half a billion dollars worldwide and effectively igniting the superhero movie boom., Between them, these studios are working hard to ensure that the summer blockbuster season remains choc-a-bloc with superhero movies, a trend which shows no sign of letting up.]	['none can claim to rival the atmosphere and immersion of Unbreakable']
Here's where to get free and specialty burgers on National Cheeseburger Day	[Sept. 18 is National Cheeseburger Day., Here's a round-up of where to snag free, discounted and specialty burgers:, Not everyone is heading out to eat for National Cheeseburger Day, however.]	['free burger (up to $10 value) with the purchase of an adult entree on Sunday at Ruby Tuesday', 'BurgerFi is selling $5 cheeseburgers on Sunday', 'Delta (DAL) will serve Shake Shake (SHAK) burgers aboard select flights from JFK to LAX on Sunday. In addition, customers on the flights will receive a voucher for a free ShackBurger at the LA West Hollywood Shake Shack.', 'Hurricane Grill & Wings is offering $5.99 beef, turkey or veggie burgers with cheese, lettuce, tomato, onion and pickles on Sunday']
Something Crazy is Happening in Switzerland, and its a Bad Sign for the World Economy	[It's like a bad financial-world play on a Yakov Smirnoff joke: In Switzerland, lender pay you!]	['Investors are now expected to pay for the privilege of lending money to the Swiss for a half-century at a time.']
You probably won't guess what Walmart's biggest Black Friday seller was:	"[One small note: NBC's headline, which claims the store's ""hottest Black Friday seller was a 29-cent towel,"" is a little misleading.]"	['towel']
Major retailer plans to lower prices this spring	[A representative at J. Crew clarified Drexler's remarks to The Huffington Post, stating that the retailer will not in fact be lowering their prices.]	['J. Crew']
Why one man thinks the US government should pay citizens $1,000 a month	[One former union boss has a bold idea on how to ensure economic stability in the U.S. — give every citizen $1,000 a month.]	"['Andy Stern', '""tectonic shifts"" in the labor market that will see more and more workers replaced by robots']"
Ever Wondered Why Disney Characters Never Have Mothers? The Answer Is Actually TRAGIC	[But regardless of the year they are released, almost every Disney film has one thing in common – the main character almost never has a mother.]	['might have been a result of something that happened to Walt and his family. Something tragic that involved his mother']
Donald Trump Appeared In A 2000 Playboy Softcore Porn	[Donald Trump made an appearance in an explicit 2000 Playboy video.]	['him breaking a bottle of champagne on a Playboy-branded limo while several of the playmates are visiting New York City']
Ever wondered what the smaller pocket inside the bigger pocket of your jeans is for?	[Have you Ever Wondered What the Purpose of the Small Pocket in Your Jeans Is?]	['a watch']
What The Heck Was This Smelly Pink Blob Floating In The Indian Ocean?	[Smooth, pink, fleshy, and unbearably smelly, this chunky conundrum simply couldn’t be identified – at least at first., It looked like a few sharks had turned up and taken a few bites out of the ex-whale, which had caused its gastrointestinal gas and fluids to flood out into the Indian Ocean.]	['dead whale']
Peter Dinklage's voice-over work on this video game is pretty unbearable	"[Peter Dinklage’s voice-over work in the upcoming shooter game ""Destiny"" has not been well received.]"	"['shooter game ""Destiny""']"
Will Xbox One be getting Playstation 4.5 style upgrades?	[Reports from around the game industry have dubbed a new iteration of the Playstation 4 the Playstation 4.5, or possibly Playstation 4K thanks to its upgraded GPU which will be used for 4K visuals and the fancy Playstation VR headset.]	['Xbox head Phil Spencer told Gamespot he doesn’t believe in the piece by piece upgrading of systems, and you won’t be seeing that with the Xbox One.']
Costco Is Making a Big Change Today That Shoppers Need to Know About	[A huge change that’s been months in the making is officially taking place today at ., In many ways, the card change works to the benefit of Costco members., What’s more, Costco now accepts any Visa card, so you don’t need to use the one the retailer sent as a replacement for the old AmEx card.]	['Costco AmEx cards should switch over to the new Costco Visa Anywhere card']
Something unexpected gave this paralyzed man his life back	[After waking up almost entirely paralyzed in the hospital about 20 years ago, Ken Worrall asked to be disconnected from his life-giving machines.]	['online gaming']
Is that Kim Jong Un walking the streets of Hong Kong?	"[It is his trademark look,"" Howard says as he walks the streets of Hong Kong, capturing the attention of confused onlookers.]"	['professional Kim Jong Un impersonator']
Do You Know What The Apple Logo Actually Looks Like?	"[Then they had to choose from a selection of altered logos like the ones in the quiz you just took., ""Only 1 participant out of 85 correctly recalled the Apple logo, and fewer than half of all participants correctly identified the logo,"" the researchers wrote.]"	['Only 1 participant out of 85 correctly recalled the Apple logo, and fewer than half of all participants correctly identified the logo']
Oregon militia leader has jail complaints	[The leader of the armed group that took over a federal wildlife reserve in Oregon last January is complaining about what he says is a big injustice: the lack of Internet access inside his jail cell.]	['requested Internet access']
This is the horrifying thing that happens to your hands when you fall asleep outside in winter	[In the midst of the Canadian winter she found herself getting tired, a symptom of hypothermia, and fell asleep outside a nursing home.]	['frostbite']
Here’s Why You Shouldn’t Freak Out About The ‘J Law Cast As Mulan’ News... Yet	[The latest addition to this troubling trend – the rumor that actress Jennifer Lawrence is being cast as Mulan in a Disney reboot.]	['The rumor was released by a fake (FAKE, PEOPLE!) @Unreel_News']
Record-breaking CPR saved this woman	[A snowshoer who fell and was stuck in a B.C. tree well for more than seven hours is expected to make a full recovery, thanks to a fortuitous chain of events — including a record-breaking amount of CPR.]	"['Christine ""Tink"" Newman', 'four continuous hours of CPR']"
Hotel staff reveal guests' most GRUESOME habits	[With thousands of guests passing through their rooms every year, it's no wonder hotel staff have some choice tales to tell.]	['used condoms being discarded under beds', 'women flashing the porter instead of giving a tip', 'parents forgetting to collect their children from the kids club because they were drunk', 'call staff to the room, and then make them wait outside while they get intimate', 'answer the door naked']
Shah Rukh Khan Has BLOCKED Salman Khan Fans And Here Is The Reason Why	[This we got to know when, during a chat with SRK on Twitter, a Salman Khan fan asked the reason behind him blocking Salman’s fans.]	['Bad language...ill thoughts...rude ideas...negative radical views...I don’t need.']
Legendary Mexican singer falls off stage during anniversary concert	[During a concert celebrating his 50 years in music, Mexican crooner José José tried to greet a fan at the side of the stage when he suddenly fell nearly five feet into the crowd.]	['José José']
Here’s how much every country would have to pay to stop climate change	[Worldwide, developed nations would have to pay more than $1.1 trillion annually to developing nations on top of massive emission reductions to keep climate change in check.]	['Worldwide, developed nations would have to pay more than $1.1 trillion']
It wasn't all bad! Here are eight good things that happened in 2016	[Yet amid the bad, the ugly and the end of Brangelina, there was still some good you might have missed while you were standing in your room crying to Joni Mitchell.]	"['The unemployment rate in November fell to 4.6 percent, the lowest in nine years', 'With 14 total world championship medals, 19-year-old Simon Biles arrived in Rio already a star. It was her near-perfect performance at the Olympics, however — which netted four golds and a bronze', 'it was hard not celebrate alongside the Chicago Cubs after they won their first World Series in 108 years.', 'Several women of color made political history last month when they were elected to prominent leadership positions within their respective states.', 'Few albums in history have managed to be as simultaneously vulnerable and powerful as ""Lemonade"" — Beyonce\'s sixth solo record that laid bare an important slice of black womanhood.']"
What Will Humans Look Like 100,000 Years From Now?	[How will humans look 10,000-100,000 years from now?, So what will we look like 100,000 years from now, assuming we still exist that far in the future?]	['Who can guess what evolution has in store for us ten thousand years hence?']
There was danger to her life due to an abnormality in the foetus	[Coming to rescue to a 24-week pregnant woman facing danger to her life due to an abnormality in the foetus, the Supreme Court on Monday granted her permission to terminate her pregnancy.]	['foetus was detected with anencephaly, a serious defect where parts of the skull are not adequately developed']
Donald Trump takes poll lead over Hillary Clinton – is it time to panic?	[For the first time, Republican Donald Trump seems to have edged ahead of Democrat Hillary Clinton in presidential polling.]	['it’s been time to panic for a while']
"Can ""wax"" help save endangered mammals?"	[Wax inside a whale’s ear stores all sorts of useful information on the animal’s exposure to pollutants and stress levels throughout life, researchers have found., But it also records time — similarly to the rings of a tree, the wax is laid down in light and dark bands, with each band correlating roughly to a six-month period., Maternal transfer of pollutants is known to happen in other mammals, such as seals and humans.]	['Wax inside a whale’s ear stores all sorts of useful information on the animal’s exposure to pollutants and stress levels throughout life']
A Temple In Mussoorie Did Something That Helps Save Water Without Breaking Tradition	[And this is what gave the temple authorities an idea to help save water without breaking tradition.]	['replace all the larger vessels with those of smaller sizes']
The Queen had a brilliant response when a tourist asked her if she'd met the Queen	"[""Have you ever met the Queen?"" they asked.]"	"['""No,"" she apparently replied, before pointing at the policeman and adding: ""But he has.""']"
Finally: @Radiohead have announced their new album release date	[At long last, it's here: Radiohead have finally announced their ninth album.]	['May 8']
"What Daniel Radcliffe thinks of the ""Harry Potter"" spinoff"	[Yes, Daniel Radcliffe is no longer Harry Potter -- as a recent New York Times Magazine profile deftly illustrated -- but what's interesting about Radcliffe (great, even) is that he's not anti-Harry Potter.]	"['""The Woman in Black""', 'it was different enough that people realized it was a different reason to go and see it. And the fact that it did so well and it was a really good movie']"
This is the restaurant of your dreams	[In a land far, far away sits the restaurant of your dreams.]	['The Rock']
Former NBA player reportedly drowns after tripping and hitting his head near his pool.	[Jackson Vroman, the former NBA player who was found dead at his Los Angeles home Monday morning, drowned in his pool after tripping and hitting his head, according to Vroman’s close friend, the Instagram celebrity Dan Bilzerian.]	['Jackson Vroman']
How many of these do you have on your shelf?	[Jackson Vroman, the former NBA player who was found dead at his Los Angeles home Monday morning, drowned in his pool after tripping and hitting his head, according to Vroman’s close friend, the Instagram celebrity Dan Bilzerian.]	['1. Ideas Have Consequences', '2. The Road to Serfdom', '3. The Closing of the American Mind', '4. A Choice Not an Echo', '5. Capitalism and Freedom']
MIT researches can read a book without opening the cover	[Researchers from the Massachusetts Institute of Technology (MIT) have developed a prototype imaging system that’s able to read pages of a book without opening it.]	['Researchers from the Massachusetts Institute of Technology (MIT) have developed a prototype imaging system that’s able to read pages of a book without opening it.']
This is why no one wants to work with Katherine Heigl anymore	[Katherine Heigl's behavior on set has become notoriously difficult, and a scathing article by Kim Masters for The Hollywood Reporter rounded up a number of industry insiders who are getting fed up with the star once known fondly as Dr. Izzie Stevens.]	['difficult behavior']
The Best Foods to Help You Sleep	[Both diet and sleep are complex, which means there’s no silver bullet or single food that is guaranteed to help with sleep., Researchers, including nutritionists and sleep experts, have conducted different types of studies to try to discover the best foods for sleep., In general, there’s a lack of direct evidence about specific foods that are good for sleep., Doing so helps ensure that your food choices support not just your sleep but all of your other health priorities as well., A research study found that fatty fish may be a good food for better sleep., Nuts like almonds, walnuts, pistachios, and cashews are often considered to be a good food for sleep.]	['Kiwi', 'Tart Cherries and Tart Cherry Juice', 'Malted Milk and Nighttime Milk', 'Fatty Fish', 'Nuts']
Penn (of Penn &amp; Teller) loses 100 lbs with ONE vegetable	[He’s the one who speaks in illusionist duo Penn & Teller., Penn Jillette says several years ago he was approaching his 60th birthday while packing 330 lbs and high blood pressure., The rapid weight loss was more than experts consider safe, but Penn continued with regular doctor visits and eventually lost about a third of his body weight – over one hundred pounds.]	['potatoes']
The beauty blunders that are making you appear ten years OLDER	[Here, they share the beauty blunders that are making you appear ten years older - and reveal their top tips for ensuring your makeup works for you.]	['According to the top beauty gurus in the business, applying your foundation, blusher and concealer incorrectly can add decades to your looks.']
Who got dropped in 'SNL' cast shakeup?	[NBC’s Saturday Night Live is dropping two longtime cast members as it readies its 42nd season., SNL executive producer Lorne Michaels has a history of switching out some cast members, but the involuntary departures of veterans such as Pharoah and Killam is unusual.]	['Jay Pharoah and Taran Killam']
What State Has the Worst Drivers	[When ordinary conversation turns to driving, many are quick to declare drivers from their state the worst., It's logical to think that states with notoriously bad traffic would produce some of the nation's rudest commuters, and while states like New York, New Jersey and the District of Columbia fall in the top 10, the state with the absolute rudest drivers is tucked away in the Rocky Mountains: Idaho.]	['Idaho']
Are You Reading The Wrong Books? What Science Is Saying About Fiction Readers	[Studies have been released in the past several years that have given scientists some interesting data about fiction readers and what type of fiction they should read!, Through their research, they found that readers of literary fiction receive more of the empathetic benefits of reading than those who read pop-fiction or non-fiction.]	['more empathetic towards others']
A video of her overdose went viral; after watching it, she has something to say	[It’s not an easy video to watch, a young woman falling unconscious in her car after overdosing on drugs., More than 750,000 people have watched video of the Milwaukee, Wisconsin, woman’s overdose since it was posted on Tuesday by a man who said he wanted to show the reality of the opioid epidemic.]	['Katrina Henry', 'Admit it and go get help']
Does your iq correlate with the rap music you listen to?	[Or even, does SD have a low IQ for rapping repetitive and simplistic lyrics in a sub-genre of rap (drill) that almost depends on recycling lyrics/themes?, Hip hop fans don’t need to feel pressured to only listen to music that is considered smart.]	['Hip hop fans don’t need to feel pressured to only listen to music that is considered smart. Smart isn’t everything, and just because a song is intellectually smart, doesn’t necessarily mean it is enjoyable to listen to.']
You won't believe how old this female bodybuilder is	[The sisters set their sights on becoming two of the oldest female bodybuilders., Shepherd did, and was declared the World's Oldest Performing Female Bodybuilder by the Guinness Book of World Records in 2010.]	['77']
"Your Brain Has A ""Delete"" Button--Here's How To Use It"	[Your Brain’s Delete Button]	['Your brain needs to prune a lot of those connections away and build more streamlined, efficient pathways. It does that when we sleep.']
What would happen if the Olympics banned Russia?	[This morning, the Court of Arbitration for Sport made a ruling on Russia’s cartoonish state-sponsored skullduggery, which has been going on since 2010: It upheld the International Association of Athletic Federations’ ban on Russian track and field athletes in the Rio Olympics, whether there’s hard evidence they were juicing or not., The International Olympics Committee is still making up its mind about that ban, but it’s also still possible it will ban the country altogether—a decision that would affect not just the medal counts in Rio, but the state of international athletics., If the IOC does ban Russia, that’s enough medals to throw any Olympic predictions seriously out of whack.]	['enough medals to throw any Olympic predictions seriously out of whack. And many of the medals that might have otherwise gone to Russian athletes would likely go to competitors from the US']
