titre;phrase(s);spoiler
Coming this fall;[His untitled Daily Show companion series will air Monday-Thursday at 11:30 p.m. ET/PT, beginning this fall, taking over the timeslot vacated by The Nightly Show with Larry Wilmore, which was cancelled last August.];['Daily Show companion series will air Monday-Thursday at 11:30 p.m. ET/PT, beginning this fall']
Final episodes of "Breaking Bad" will be on @Netflix way sooner than you thought;["Breaking Bad" has been very popular on Netflix, but fans have been wondering when the show's final eight episodes will finally arrive on the service., Now we know: The eight final episodes of "Breaking Bad" hit Netflix on Feb. 24., And those who've already seen "Breaking Bad" may want to delve into the second half of the final season again: Season 5 is widely acclaimed, and many critics have called "Ozymandias," the third-to-last episode of "Breaking Bad," one of the greatest TV episodes of all time.];['Feb. 24']
If you're a millennial couple, chances are you flat-out ROCK at this;[but this new study shows that millennial couples are actually much better at a certain relationship skill than other generations., The study says that 74% of millennial couples talk about their money weekly, and that those who do report higher levels of satisfaction and happiness in their relationships., Among this group, couples were found to be much happier on average than the other demographics, with 49% of the millennial couples saying that they’re "extremely happy" with their "soulmate.", Of course, this survey isn’t a blanket statement about any particular generation or couple, and every individual and couple has their own challenges to face, but it is still awesome to see something positive being said about the millennial age group.];['talk about their money']
"I’d never heard of this condition until the terrible joint pain set in.";[Instead, I’d endured anemia, weight loss, fevers, stiffness and sometimes excruciating pain in my hips and legs., The culprit: polymyalgia rheumatica, or PMR, an autoimmune disease that spreads painful inflammation through most of the body’s joints., Never heard of it?, In most cases, the condition can be cured, although slowly over months, sometimes years., Basically, polymyalgia rheumatica tricks the immune system into attacking its own body — sending antibodies and immune cells into the hundreds of fluid-filled sacs called bursae that lie throughout our joints and surrounding soft tissue., In the healthy body, those sacs — some no wider than a dime, others the size of a silver dollar — keep our joints moving smoothly., But when inflamed by PMR, they cause pain and stiffness., "And there are other conditions that mimic PMR," such as rheumatoid arthritis, various infections and even some forms of cancer., Leslie Kermath, 70, of Whitefish, Mont., spent almost a month undergoing tests before her doctor felt confident that PMR was causing her pain, stiffness and fever., For a PMR patient, prednisone feels like a miracle drug because it so quickly attacks inflammation and banishes the pain and stiffness., PMR patients can expect their doctors to look for symptoms of GCA: severe headaches, tender scalp, jaw pain and blurred vision.];['polymyalgia rheumatica']
Matt Damon once asked Prince where he lived, got the most Prince answer imaginable;[When Damon asked Prince if he still lived in Minnesota, Prince replied in the most Prince-like fashion imaginable: "I live inside my own heart, Matt Damon."];['"I live inside my own heart, Matt Damon."']
All Blue-Eyed People Have This One Thing In Common;[Every blue-eyed person on the planet is descended from a single European who lived around 6,000 to 10,000 years ago, and who first developed a specific mutation that accounts for the now widespread iris coloration., The fact that every blue-eyed person alive today has this same mutation is pretty compelling evidence for this theory, although the identity of the initial mutant remains something of a mystery.];['descended from a single European']
A mother hears her dead son's heart beat;[Dawn Grace lost her son four years ago, and now she meets the man who received his heart in a transplant.];['Dawn Grace lost her son four years ago, and now she meets the man who received his heart in a transplant.']
The Crazy Cooking Hack that Slashes the Calories in Rice by Half;[New research was presented at the 249th National Meeting & Exposition of the American Chemical Society, and revealed that adding a teaspoon of coconut oil to boiling water with a half-cup of non-fortified white rice, letting it simmer for 20 to 40 minutes, then refrigerating it for 12 hours may reduce the number of calories your body takes in by 50 to 60 percent.];['adding a teaspoon of coconut oil to boiling water with a half-cup of non-fortified white rice, letting it simmer for 20 to 40 minutes, then refrigerating it for 12 hours may reduce the number of calories your body takes in by 50 to 60 percent']
CNN caught ADDING key word to Trump's comments;Twitter ERUPTS;[On Sunday, the network edited Hillary Clinton’s own words in an attempt to paint her as a more steady, politically correct candidate than Donald Trump — who immediately called the bombing what it was., According to a transcript of the interview, Trump’s remarks about profiling did not include the word "racial.", "But I’m not using the term Muslim," Trump added., CNN has been running headlines throughout the day that specifically quotes Trump as saying "racial profiling" and the Fox News excerpts the network sent out Monday evening also framed his quotes as responses to questions about "racial profiling.", Cnn Claims Trump Called For ‘racial’ Profiling (he Didn’t), CNN, a radical left lying news service at best, stated that Trump believes in "racial profiling"., And a day later, the Clinton News Network was putting words in Trump’s mouth — one word in particular., Trump’s remarks in that interview also did not include the word "racial."];['racial']
So THAT'S Why Men And Women Take Their Shirt Off Differently;["Men’s shirts have more room, so it’s easier to slip them off over your head; women don’t have that option," he posits in the video above.];['"Men’s shirts have more room, so it’s easier to slip them off over your head; women don’t have that option,"']
The terrifying way not sleeping enough actually changes your gut;[Experts still don’t fully understand why not getting enough sleep is connected to all of these conditions, but new research published this month adds one piece to the puzzle: Not getting enough sleep may cause changes to gut bacteria that could fundamentally change our metabolism, affecting a host of bodily systems., This new study is one of the first to suggest that not getting enough sleep is one way of making our gut bacteria unhealthy, Cedernaes explained., The data showed that getting less sleep didn’t necessarily change which gut bacteria the individuals had., Additional, longer studies will be necessary to prove that the gut bacteria changes observed after a few nights of insufficient sleep are linked with the various metabolic diseases thought to be connected to chronic sleep loss, like obesity, diabetes and heart disease.];['This new study is one of the first to suggest that not getting enough sleep is one way of making our gut bacteria unhealthy']
The magic word this researcher says can get people to agree with you;["Is moral a magic word?" he said.];['moral']
Look who just launched a new free streaming-music service:;[By creating free online radio stations, the tech giant is hoping to better compete against Spotify and Pandora, which have gained huge followings with their free music streaming services, and convert some free Google listeners into paying customers., Over the weekend, Apple’s upcoming paid streaming-music service faced withering criticism from pop singer Taylor Swift, who wrote a letter complaining about the company failing to pay artists royalties during a free three-month trial period., Some of the nuts and bolts behind Google's free streaming comes from Google acquisition last year of Songza, a music streaming service that used humans to curate playlists.];['Google']
Bernie Sanders' Secret Service code name is...;[Vermont Sen. Bernie Sanders‘ Secret Service code name is... Intrepid.];['Intrepid']
REVEALED: People who POOP at this time of day are healthiest;[Dr Kenneth Koch recently revealed the best time of day to do number two's, and to our surprise it's in the MORNINGS - right after you wake up to be precise.];['in the MORNINGS']
This university has more NCAA championships than black male freshmen;[The black students at University of California, Los Angeles, sent a strong message about diversity at their school., Stokes, a third-year Afro-American studies student who identifies as black, Cherokee and Chinese, recites a spoken word poem in the video, citing blaring statistics about the university's diversity issue., In the video, Stokes points out that black males make up 3.3 percent of the male student population, and that 65 percent of those black males are undergraduate athletes.];['University of California, Los Angeles']
.@priyankachopra said what?😮🤣;[In a hilarious scene, Priyanka is seen calling out to Zac Efron as "Easy Britney" but when it is translated in Hindi, PC can be heard saying, "Chal Na Katrina" which is the best part about the trailer and has actually won many hearts.];['Chal Na Katrina']
When This Animal Shelter Asked Pokémon Go Players To Walk Their Dogs, They Didn’t Expect This;[Then get in touch with Muncie Animal Shelter because they want you to take their dogs for a walk while you’re out capturing Meowths and Rattatas., "Come on down to the Muncie Animal Shelter to walk one of our dogs while you get your steps in!];['Then get in touch with Muncie Animal Shelter because they want you to take their dogs for a walk while you’re out capturing Meowths and Rattatas.']
A Farmer Got More Than He Bargained For When He Dug Up This On Christmas Day;[On Christmas Day 2015, a farmer was out on his land and found what he thought looked like a fossil.];['fossil']
Gosselin: I can see Cowboys QB Tony Romo playing all 16 games if this happens;[Dallas Cowboys quarterback Tony Romo (9) leads the team during a warm-up at the team's last practice at Valley Ranch on Thursday, June 16, 2016, in Irving, Texas., Question: Do you see Romo playing in all 16 games this season?, Gosselin : The goal certainly is for him to play 16 games., If Elliott can give this offense what DeMarco Murray provided in 2014, I can see Romo playing all 16 games.];['If Elliott can give this offense what DeMarco Murray provided in 2014, I can see Romo playing all 16 games.']
Want To Lose More Weight? Simply Replace Your Diet Soda With This After Meals;[However, there is a set of the population (one that the American Beverage Association is trying to no doubt grow) that believes diet sodas are at least as effective, if not more so, than water in losing weight.];['water']
850 DNA matches after city clears rape kit backlog;[HOUSTON (AP) — Evidence from more than 6,600 rape kits that went untested for years in Houston have turned up 850 hits in the FBI's nationwide database of DNA profiles, marking a major step in the city's $6 million effort to address the backlog, officials announced Monday.];['Houston']
If You Have a Chip-Enabled Card, There's One Thing You Should Never Do;[You probably have a wallet full of credit cards with chips at this point., That's why the fact that some retailers — including Bed Bath & Beyond, Staples, Chick-fil-A, and Panera Bread — don't have chip card readers up and running at all of their locations is a big concern., You see, if you swipe a chip card instead of inserting it into slot, the merchant is responsible for covering any fraudulent charges — not the bank.];['You see, if you swipe a chip card instead of inserting it into slot, the merchant is responsible for covering any fraudulent charges — not the bank.']
Magazine responds to backlash against Melissa McCarthy cover;[Melissa McCarthy's Elle cover, part of the magazine's Women in Hollywood cover series, features a striking gray winter coat, a voluminous woolen piece by Marina Rinaldi with a dramatic cut.];['Elle']
Read this before you go out to shovel your driveway;[Men are more likely to have a heart attack after a snowfall, and it's probably from the exertion of shoveling snow, Canadian researchers reported Monday., "Men are potentially more likely than women to shovel, particularly after heavy snowfalls., People often exhale hard with their mouths closed while lifting a heavy shovel full of snow, a dangerous habit called the Valsalva maneuver, they noted., It might not only be shoveling that does it., The National Safety Council has some advice for how to safely shovel snow:, Do not shovel after eating or while smoking Take it slow and stretch out before you begin Push the snow rather than lifting it If you do lift it, use a small shovel or only partially fill the shovel Lift with your legs, not your back Do not work to the point of exhaustion Talk to a doctor before shoveling if you have a history of heart disease Stop immediately if you feel dizzy or tightness in the chest];['Talk to a doctor before shoveling if you have a history of heart disease Stop immediately if you feel dizzy or tightness in the chest']
This state wants to legalize medical marijuana. Police agencies won't let it;[Minnesota will consider passing legislation to legalize the medical use of marijuana, but police agencies are standing in the way.];['Minnesota']
Two Strangers Hug a Woman After Asking for Directions, but Watch What the Lady in Purple Does;[Two women asked another woman for directions, hugged her, and ended up stealing her jewelry in a move straight out of a Jonathan Swift tale.];['stealing her jewelry']
Boris Johnson's Brexit speech was uploaded to Pornhub with a new title;[An angry voter uploaded a video of former mayor of London and Leave campaigner Boris Johnson on ( Pornhub with the title: "Dumb British blond fucks 15 million people at once."];['Dumb British blond fucks 15 million people at once.']
Hey, what's that thing *you* did to succeed?;[Friday on "CNN Tonight," network host Fareed Zakaria said President Donald Trump has succeeded by "bullshitting.", Zakaria said, "I think the president is somewhat indifferent to things that are true or false., He has succeeded by bullshitting.];['bullshitting']
Former "Community" star tweets importance of "Arsenio Hall Show";[In response to Friday's news that CBS had pulled the plug on "The Arsenio Hall Show" after one season, former "Community" star Yvette Nicole Brown took to Twitter to share her opinion of what the late-night talk show, and others like it, had meant for her career.];['Yvette Nicole Brown']
11 of the nation's 100 most dangerous cities are in this state;[Florida may be just the fourth most populous state in the U.S., but it contains more of nation's 100 most dangerous cities -- a total of 11 -- than any other state, including California (10), Texas (five), and New York (four).];['Florida']
Original "Law &amp; Order: SVU" cast member leaving the show;[Richard Belzer is leaving "Law & Order: SVU."];['Richard Belzer']
